Occupation,AI Talent% Relative to Total Headcount,AI-Required Position Retention Rate,AI-Required Position Hire Rate,Average Salary for Positions Without AI Requirements,Average Salary for Positions With AI Requirements,AI_Salary_Premium ,Number of Job Posts Without AI Requirement,Number of Job Posts With AI Requirement
hr operations,6.09%,95.32%,3.72%," 84,205 "," 104,095 ",23.62%, 194 , 5 
hr project,6.21%,96.96%,1.00%," 93,827 "," 107,408 ",14.47%," 1,420 ", 65 
hr recruiter,3.51%,92.22%,0.00%," 59,196 "," 60,079 ",1.49%, 261 , 16 
hr representative,2.82%,94.77%,1.15%," 62,564 "," 71,437 ",14.18%," 1,595 ", 28 
hr services,5.52%,94.30%,0.00%," 96,679 "," 119,695 ",23.81%," 2,097 ", 108 
hris,8.20%,96.64%,1.07%," 126,679 "," 135,688 ",7.11%," 1,031 ", 89 
hris analyst,8.82%,97.07%,1.47%," 96,495 "," 111,200 ",15.24%," 4,532 ", 287 
hse,0.76%,96.61%,0.00%," 84,943 "," 110,542 ",30.14%," 4,947 ", 73 
human,1.03%,91.49%,4.88%," 73,690 "," 54,952 ",-25.43%, 737 , 11 
human resources,1.20%,94.71%,3.00%," 90,177 "," 105,615 ",17.12%," 1,781 ", 23 
human resources administrator,1.26%,92.92%,2.73%," 44,801 "," 48,472 ",8.19%, 549 , 16 
human resources analyst,6.50%,99.14%,2.59%," 69,973 "," 105,442 ",50.69%," 1,481 ", 42 
human resources business,5.51%,92.79%,2.13%," 108,595 "," 127,071 ",17.01%," 5,848 ", 200 
human resources consultant,4.53%,94.07%,2.48%," 103,474 "," 104,236 ",0.74%," 1,185 ", 63 
human resources coordinator,2.26%,92.67%,2.28%," 68,988 "," 70,613 ",2.36%," 4,170 ", 91 
human resources officer,3.16%,92.46%,4.33%," 67,769 "," 83,765 ",23.60%," 1,267 ", 39 
human resources representative,1.71%,95.35%,0.00%," 61,495 "," 64,170 ",4.35%," 3,528 ", 54 
i t analyst,10.20%,97.24%,0.91%," 132,692 "," 138,426 ",4.32%, 161 , 10 
incident,3.54%,95.26%,0.00%," 87,215 "," 116,766 ",33.88%, 628 , 18 
industrial,2.55%,96.30%,1.85%," 111,927 "," 36,774 ",-67.14%, 210 , 2 
industrial designer,3.07%,93.89%,2.08%," 99,274 "," 132,595 ",33.56%, 701 , 46 
industrial engineer,8.09%,95.19%,3.38%," 98,418 "," 96,007 ",-2.45%," 1,181 ", 32 
industrial engineering,7.51%,93.55%,6.05%," 65,254 "," 99,205 ",52.03%, 260 , 5 
information,6.82%,95.16%,2.06%," 77,933 "," 81,947 ",5.15%, 83 , 8 
information analyst,16.85%,96.24%,2.92%," 108,417 "," 123,278 ",13.71%, 674 , 59 
information officer,6.70%,93.01%,1.89%," 163,322 "," 198,172 ",21.34%, 30 , 1 
information security,6.45%,94.41%,0.68%," 130,332 "," 135,307 ",3.82%, 423 , 40 
information security analyst,8.27%,95.84%,1.00%," 106,021 "," 114,850 ",8.33%," 2,387 ", 205 
information security engineer,16.76%,96.10%,2.06%," 126,821 "," 142,191 ",12.12%," 3,801 ", 498 
information security officer,6.22%,93.82%,1.18%," 152,742 "," 164,476 ",7.68%," 2,348 ", 217 
information systems,7.00%,93.75%,2.70%," 156,516 "," 183,034 ",16.94%, 209 , 23 
information technology,5.82%,94.51%,0.73%," 108,763 "," 143,337 ",31.79%, 412 , 48 
information technology analyst,11.21%,94.30%,3.33%," 79,108 "," 73,561 ",-7.01%, 439 , 40 
information technology consultant,10.48%,95.69%,2.64%," 89,877 "," 111,976 ",24.59%, 93 , 5 
information technology project,10.44%,95.66%,0.93%," 125,336 "," 143,253 ",14.30%," 1,233 ", 54 
infrastructure,8.65%,97.17%,1.40%," 124,892 "," 169,871 ",36.01%, 333 , 14 
infrastructure analyst,9.55%,98.53%,1.47%," 87,621 "," 108,056 ",23.32%, 433 , 15 
infrastructure architect,27.40%,97.25%,0.64%," 150,383 "," 165,329 ",9.94%," 1,566 ", 207 
infrastructure engineer,19.23%,96.76%,0.77%," 115,418 "," 135,512 ",17.41%," 1,079 ", 123 
infrastructure project,5.12%,93.83%,0.00%," 119,294 "," 130,496 ",9.39%, 842 , 38 
innovation,13.21%,94.17%,4.07%," 163,352 "," 190,236 ",16.46%," 1,018 ", 255 
inside account,7.54%,93.42%,3.26%," 79,661 "," 107,778 ",35.30%," 2,395 ", 139 
inside sales,1.35%,98.39%,4.02%," 67,425 "," 81,200 ",20.43%, 661 , 14 
inside sales account,4.31%,95.12%,2.22%," 69,580 "," 92,547 ",33.01%," 1,208 ", 57 
inside sales representative,3.30%,95.09%,4.71%," 63,260 "," 112,602 ",78.00%," 2,822 ", 57 
inspector,0.81%,98.48%,3.03%," 59,864 "," 55,044 ",-8.05%, 730 , 12 
installation,1.80%,94.73%,1.28%," 83,242 "," 90,876 ",9.17%, 564 , 8 
installer,1.69%,95.80%,4.19%," 52,536 "," 50,600 ",-3.68%," 1,166 ", 19 
institutional sales,2.89%,90.77%,6.16%," 144,270 "," 142,858 ",-0.98%, 257 , 13 
instructional designer,7.12%,92.97%,2.35%," 88,358 "," 104,646 ",18.43%," 3,349 ", 386 
instructor,3.12%,97.29%,4.86%," 79,733 "," 84,191 ",5.59%, 147 , 3 
instrument technician,2.67%,97.29%,2.68%," 66,143 "," 68,387 ",3.39%," 3,196 ", 94 
instrumentation engineer,7.91%,97.78%,0.75%," 110,366 "," 112,947 ",2.34%, 640 , 39 
insurance,0.72%,96.88%,1.56%," 80,599 "," 112,219 ",39.23%, 257 , 6 
insurance agent,0.24%,93.21%,2.63%," 73,799 "," 66,849 ",-9.42%, 524 , 11 
integration,4.24%,100.00%,0.00%," 126,735 "," 134,474 ",6.11%," 1,124 ", 72 
integration engineer,10.97%,97.49%,0.00%," 124,644 "," 138,672 ",11.25%, 766 , 82 
integrator,5.53%,97.50%,5.00%," 123,202 "," 132,765 ",7.76%, 303 , 20 
interaction designer,18.79%,93.67%,3.90%," 107,060 "," 130,966 ",22.33%," 3,012 ", 664 
interior designer,0.54%,90.05%,2.70%," 84,424 "," 108,053 ",27.99%, 847 , 18 
investigations,2.24%,93.91%,1.24%," 96,914 "," 113,053 ",16.65%," 1,137 ", 75 
investigator,3.55%,93.93%,3.46%," 94,398 "," 124,435 ",31.82%, 910 , 49 
investment,1.38%,95.81%,3.60%," 145,859 "," 177,356 ",21.59%, 299 , 9 
investment analyst,4.43%,95.33%,4.29%," 113,941 "," 138,393 ",21.46%," 2,114 ", 121 
investment banking,0.83%,93.19%,2.22%," 165,406 "," 200,638 ",21.30%, 277 , 14 
investment banking analyst,2.29%,90.31%,5.80%," 107,244 "," 128,394 ",19.72%," 2,227 ", 184 
investment consultant,2.22%,93.51%,3.05%," 111,512 "," 156,721 ",40.54%, 350 , 10 
investment representative,0.22%,100.00%,0.00%," 105,091 "," 131,279 ",24.92%," 2,844 ", 118 
investments,1.40%,96.83%,0.45%," 185,488 "," 194,265 ",4.73%," 1,756 ", 107 
investor relations,2.48%,89.78%,4.08%," 131,123 "," 131,377 ",0.19%," 1,617 ", 76 
ios developer,7.56%,95.19%,2.40%," 104,468 "," 128,002 ",22.53%," 2,976 ", 541 
is,5.09%,95.07%,1.64%," 122,319 "," 140,778 ",15.09%, 125 , 6 
it,3.49%,97.58%,0.16%," 110,305 "," 120,824 ",9.54%, 447 , 38 
it administrator,3.28%,96.43%,0.00%," 82,574 "," 73,842 ",-10.57%, 90 , 15 
it analyst,11.95%,97.10%,0.89%," 105,415 "," 120,811 ",14.60%, 843 , 46 
it architect,19.24%,97.35%,1.20%," 146,241 "," 156,066 ",6.72%," 1,787 ", 294 
it audit,6.59%,94.78%,1.33%," 118,763 "," 128,537 ",8.23%," 1,766 ", 99 
it auditor,6.54%,94.86%,2.38%," 103,918 "," 110,987 ",6.80%, 624 , 33 
it business analyst,10.93%,96.13%,0.74%," 104,624 "," 107,184 ",2.45%," 1,864 ", 134 
it consultant,7.97%,96.59%,1.14%," 113,001 "," 113,147 ",0.13%, 207 , 19 
it developer,6.17%,96.15%,2.00%," 113,289 "," 122,274 ",7.93%, 126 , 22 
it engineer,19.63%,96.22%,2.11%," 105,009 "," 114,687 ",9.22%, 300 , 20 
it helpdesk,3.48%,100.00%,8.33%," 60,702 "," 64,481 ",6.23%, 63 , 2 
it infrastructure,15.97%,96.53%,0.96%," 131,507 "," 155,313 ",18.10%, 993 , 74 
it operations,8.04%,98.28%,1.15%," 121,061 "," 130,318 ",7.65%, 349 , 32 
it project,9.90%,95.50%,1.38%," 132,536 "," 134,567 ",1.53%," 1,770 ", 133 
it recruiter,11.39%,97.02%,0.00%," 80,892 "," 97,595 ",20.65%, 319 , 44 
it security,7.35%,94.38%,2.80%," 122,762 "," 128,512 ",4.68%, 238 , 26 
it security analyst,5.00%,93.28%,2.60%," 96,974 "," 106,561 ",9.89%," 1,891 ", 114 
it service,5.28%,97.75%,0.00%," 95,182 "," 104,382 ",9.66%, 325 , 13 
it service delivery,7.32%,94.49%,0.89%," 119,015 "," 126,366 ",6.18%," 1,260 ", 89 
it services,6.74%,93.78%,0.00%," 119,695 "," 129,975 ",8.59%, 187 , 21 
it support,3.72%,92.86%,2.51%," 67,620 "," 74,703 ",10.48%, 238 , 21 
it support analyst,9.01%,95.55%,0.75%," 73,402 "," 82,804 ",12.81%, 817 , 39 
it support engineer,16.49%,95.00%,4.44%," 76,584 "," 77,967 ",1.81%, 226 , 13 
it support technician,5.59%,94.49%,0.00%," 57,059 "," 58,807 ",3.06%, 498 , 22 
it technician,5.74%,94.66%,3.82%," 53,708 "," 59,289 ",10.39%, 346 , 11 
janitor,0.57%,94.55%,7.27%," 36,180 "," 32,308 ",-10.70%," 3,026 ", 63 
java developer,18.90%,99.23%,0.13%," 119,401 "," 125,886 ",5.43%," 2,417 ", 419 
java software developer,2.41%,95.24%,0.00%," 97,598 "," 117,575 ",20.47%, 617 , 51 
java software engineer,22.48%,99.15%,0.17%," 122,215 "," 135,116 ",10.56%," 2,626 ", 426 
journalist,2.36%,92.49%,4.93%," 63,204 "," 82,709 ",30.86%, 532 , 24 
key account,1.98%,96.52%,0.00%," 112,170 "," 144,478 ",28.80%," 3,160 ", 62 
key account sales,2.44%,95.75%,3.96%," 109,628 "," 135,646 ",23.73%," 5,466 ", 116 
key accounts,3.70%,98.48%,0.00%," 105,216 "," 138,066 ",31.22%," 2,076 ", 61 
key holder,0.35%,92.18%,4.04%," 37,775 "," 30,836 ",-18.37%," 4,523 ", 46 
keyholder,0.68%,97.26%,0.68%," 39,103 "," 40,848 ",4.46%," 1,850 ", 17 
kitchen,0.24%,92.86%,7.14%," 32,274 "," 36,863 ",14.22%, 423 , 7 
knowledge,9.96%,92.70%,2.08%," 115,387 "," 114,364 ",-0.89%, 178 , 26 
kyc analyst,0.34%,100.00%,0.00%," 82,935 "," 96,825 ",16.75%," 1,327 ", 192 
lab,6.72%,91.83%,8.03%," 54,254 "," 57,232 ",5.49%, 152 , 2 
lab tech,1.63%,94.94%,3.61%," 51,158 "," 70,042 ",36.91%," 1,173 ", 5 
lab technician,3.70%,95.76%,3.81%," 50,643 "," 64,231 ",26.83%, 532 , 6 
labor relations,1.91%,91.79%,0.79%," 104,306 "," 125,539 ",20.36%," 5,045 ", 158 
laboratory,1.95%,94.13%,5.33%," 78,790 "," 72,800 ",-7.60%, 186 , 1 
laboratory analyst,2.24%,95.76%,1.70%," 69,791 "," 84,112 ",20.52%," 1,482 ", 28 
laboratory technician,2.30%,92.13%,3.24%," 58,526 "," 48,129 ",-17.77%," 1,711 ", 11 
laborer,0.27%,95.00%,0.00%," 42,057 "," 31,437 ",-25.25%," 1,723 ", 18 
law,2.08%,92.55%,6.00%," 94,014 "," 116,552 ",23.97%," 3,042 ", 121 
lawyer,2.82%,93.76%,2.39%," 119,868 "," 131,341 ",9.57%," 2,102 ", 139 
leadership,4.12%,90.34%,4.67%," 89,512 "," 73,832 ",-17.52%, 148 , 3 
leadership development,6.56%,92.60%,4.44%," 103,869 "," 138,820 ",33.65%," 2,430 ", 136 
lean,2.55%,92.90%,3.45%," 91,984 "," 104,643 ",13.76%," 1,686 ", 30 
lean sigma belt,10.53%,95.38%,0.51%," 112,166 "," 137,961 ",23.00%," 3,936 ", 197 
leasing,1.16%,93.75%,4.17%," 62,350 "," 66,792 ",7.12%, 445 , 9 
leasing consultant,0.78%,91.24%,10.07%," 43,624 "," 41,175 ",-5.62%," 4,402 ", 40 
lecturer,3.19%,90.16%,7.54%," 87,487 "," 189,043 ",116.08%, 67 , 3 
ledger accountant,2.94%,93.48%,0.00%," 84,163 "," 104,648 ",24.34%, 392 , 20 
legal,2.00%,94.48%,0.79%," 95,574 "," 115,676 ",21.03%, 815 , 52 
legal compliance,2.58%,98.44%,1.56%," 125,268 "," 138,965 ",10.93%, 909 , 81 
legal counsel,3.56%,92.40%,1.06%," 155,109 "," 163,891 ",5.66%," 1,309 ", 110 
lending,0.57%,96.02%,0.98%," 101,169 "," 112,319 ",11.02%," 1,181 ", 39 
licensing,0.99%,100.00%,0.00%," 99,957 "," 80,488 ",-19.48%, 210 , 4 
lifeguard,1.72%,91.63%,9.90%," 42,306 "," 60,127 ",42.12%," 1,446 ", 16 
lineman,0.79%,94.48%,2.07%," 55,276 "," 58,727 ",6.24%," 12,319 ", 289 
linux system administrator,19.52%,97.67%,0.77%," 81,969 "," 100,881 ",23.07%," 1,450 ", 109 
loan,0.80%,94.38%,2.79%," 57,832 "," 51,389 ",-11.14%, 372 , 13 
loan officer,0.62%,92.53%,5.65%," 66,222 "," 67,822 ",2.42%, 190 , 4 
loan processor,0.14%,100.00%,0.00%," 46,128 "," 52,797 ",14.46%," 1,648 ", 21 
loan servicing,1.46%,94.16%,0.76%," 62,240 "," 75,468 ",21.25%," 5,180 ", 172 
location,1.27%,90.91%,4.55%," 61,013 "," 83,914 ",37.53%, 501 , 7 
logistic,3.88%,100.00%,2.08%," 60,735 "," 80,353 ",32.30%, 573 , 3 
logistics,1.42%,94.81%,1.08%," 68,551 "," 80,971 ",18.12%," 1,087 ", 26 
logistics analyst,5.55%,96.41%,1.06%," 75,666 "," 86,499 ",14.32%," 3,691 ", 90 
logistics coordinator,1.46%,96.81%,0.54%," 57,495 "," 56,028 ",-2.55%," 1,516 ", 38 
logistics engineer,6.36%,95.56%,2.05%," 98,350 "," 123,559 ",25.63%, 945 , 44 
loss mitigation,1.47%,96.51%,1.16%," 72,780 "," 101,813 ",39.89%," 3,457 ", 114 
loss prevention,0.80%,94.37%,1.43%," 57,668 "," 47,352 ",-17.89%," 1,339 ", 18 
m a,3.69%,98.48%,1.52%," 137,323 "," 147,479 ",7.40%, 528 , 43 
machine,4.17%,95.36%,11.65%," 41,950 "," 169,787 ",304.74%," 1,976 ", 29 
machine engineer,58.24%,94.72%,7.28%," 133,670 "," 151,917 ",13.65%," 2,463 "," 1,684 "
machinist,1.51%,96.26%,4.70%," 49,491 "," 49,812 ",0.65%," 4,113 ", 30 
maintenance,1.62%,96.65%,2.28%," 67,608 "," 63,820 ",-5.60%," 3,853 ", 45 
maintenance coordinator,2.71%,94.44%,3.33%," 87,564 "," 92,746 ",5.92%," 7,328 ", 127 
maintenance electrician,5.29%,97.49%,2.23%," 63,654 "," 67,262 ",5.67%," 3,766 ", 142 
maintenance engineer,3.66%,96.88%,1.88%," 79,715 "," 94,838 ",18.97%, 983 , 10 
maintenance mechanic,2.36%,95.58%,1.57%," 55,751 "," 59,256 ",6.29%," 12,994 ", 325 
maintenance planner,2.28%,94.48%,2.17%," 72,984 "," 75,012 ",2.78%," 3,775 ", 54 
maintenance technician,6.36%,96.63%,2.52%," 54,060 "," 54,727 ",1.23%," 6,257 ", 173 
major account,9.43%,94.14%,3.97%," 118,591 "," 156,583 ",32.04%," 4,392 ", 213 
major accounts,8.47%,92.92%,3.92%," 105,810 "," 136,794 ",29.28%," 5,508 ", 247 
makeup artist,0.87%,92.37%,2.63%," 55,564 "," 70,766 ",27.36%," 2,782 ", 58 
manufacturing,1.28%,95.50%,2.70%," 66,206 "," 81,922 ",23.74%," 2,761 ", 10 
manufacturing engineer,3.44%,95.30%,2.25%," 93,106 "," 102,899 ",10.52%," 4,078 ", 95 
manufacturing engineering,5.41%,95.17%,1.89%," 98,830 "," 129,766 ",31.30%," 3,471 ", 137 
manufacturing operations,3.13%,93.58%,3.73%," 117,722 "," 150,240 ",27.62%," 5,049 ", 154 
manufacturing process engineer,5.54%,91.97%,3.32%," 89,480 "," 98,158 ",9.70%," 3,430 ", 79 
manufacturing technician,2.46%,94.97%,1.04%," 52,552 "," 65,685 ",24.99%," 4,869 ", 55 
market,2.53%,94.25%,3.48%," 114,436 "," 130,796 ",14.30%, 819 , 22 
market access,6.71%,94.77%,1.48%," 151,413 "," 176,982 ",16.89%," 5,793 ", 497 
market analyst,12.70%,92.82%,4.01%," 90,862 "," 109,265 ",20.25%, 89 , 2 
market development,6.20%,93.70%,3.03%," 119,151 "," 142,895 ",19.93%," 1,148 ", 25 
market research,9.96%,94.39%,5.65%," 73,573 "," 182,814 ",148.48%, 137 , 1 
market research analyst,23.58%,93.23%,4.34%," 94,657 "," 107,872 ",13.96%, 299 , 9 
market risk,15.63%,97.88%,2.72%," 129,192 "," 139,006 ",7.60%," 1,793 ", 183 
market sales,3.39%,94.77%,1.93%," 110,147 "," 132,380 ",20.18%," 1,250 ", 37 
marketing,3.08%,92.60%,4.70%," 80,969 "," 101,424 ",25.26%, 617 , 28 
marketing analyst,15.41%,92.97%,3.06%," 84,695 "," 94,386 ",11.44%," 1,848 ", 122 
marketing business development,6.24%,92.79%,5.44%," 131,931 "," 147,693 ",11.95%, 237 , 21 
marketing communication,6.33%,96.76%,4.26%," 98,718 "," 105,467 ",6.84%, 731 , 33 
marketing communications,6.55%,91.77%,3.25%," 95,633 "," 115,516 ",20.79%," 2,229 ", 123 
marketing consultant,8.36%,92.61%,4.64%," 113,413 "," 147,363 ",29.94%, 839 , 62 
marketing coordinator,3.63%,93.20%,2.79%," 69,165 "," 89,234 ",29.02%," 2,544 ", 82 
marketing officer,3.73%,89.63%,5.63%," 116,816 "," 150,461 ",28.80%, 245 , 19 
marketing operations,9.17%,91.22%,1.59%," 108,169 "," 126,540 ",16.98%, 708 , 75 
marketing product,6.62%,92.99%,2.55%," 141,106 "," 166,788 ",18.20%," 3,481 ", 397 
marketing project,8.16%,94.39%,1.65%," 94,182 "," 119,955 ",27.37%, 814 , 61 
marketing representative,2.60%,89.61%,8.83%," 62,527 "," 54,829 ",-12.31%, 175 , 2 
marketing research,13.54%,92.75%,6.04%," 92,840 "," 110,073 ",18.56%, 385 , 32 
marketing sales,3.80%,93.74%,5.08%," 73,658 "," 68,304 ",-7.27%, 37 , 1 
marketing services,5.87%,94.96%,2.88%," 104,668 "," 122,027 ",16.58%, 766 , 32 
markets,5.05%,93.76%,4.17%," 177,082 "," 177,045 ",-0.02%, 296 , 21 
material,1.29%,96.58%,0.68%," 70,095 "," 73,605 ",5.01%, 352 , 15 
material handler,1.37%,94.95%,3.44%," 42,228 "," 52,568 ",24.49%," 9,386 ", 88 
material planner,2.91%,94.89%,0.00%," 73,943 "," 71,763 ",-2.95%," 1,339 ", 37 
materials,2.47%,95.66%,3.05%," 94,058 "," 97,805 ",3.98%," 1,009 ", 25 
materials coordinator,1.56%,96.44%,0.00%," 60,587 "," 63,290 ",4.46%," 2,297 ", 42 
materials engineer,2.58%,94.24%,1.80%," 103,862 "," 135,118 ",30.09%," 1,035 ", 34 
materials handler,2.67%,91.74%,1.09%," 46,704 "," 56,602 ",21.19%, 712 , 19 
materials planner,2.96%,93.51%,1.92%," 73,384 "," 83,580 ",13.89%," 2,154 ", 43 
md,0.56%,93.48%,0.00%," 84,248 "," 78,291 ",-7.07%, 118 , 4 
meat,0.35%,97.06%,0.00%," 42,142 "," 34,192 ",-18.86%," 1,121 ", 3 
mechanic,1.02%,96.60%,3.21%," 54,017 "," 56,725 ",5.01%," 5,705 ", 67 
mechanical,1.81%,96.84%,2.33%," 81,241 "," 101,713 ",25.20%," 1,219 ", 17 
mechanical design engineer,5.29%,94.51%,2.37%," 103,658 "," 121,111 ",16.84%," 3,617 ", 144 
mechanical designer,2.57%,93.79%,2.39%," 84,652 "," 89,361 ",5.56%, 976 , 18 
mechanical engineer,2.15%,95.63%,2.45%," 104,286 "," 115,104 ",10.37%," 2,183 ", 56 
mechanical engineering,5.63%,93.73%,4.09%," 70,231 "," 85,707 ",22.03%," 4,042 ", 145 
mechanical fitter,1.27%,100.00%,0.00%," 55,325 "," 70,371 ",27.20%," 2,469 ", 36 
mechanical technician,3.33%,98.29%,2.85%," 63,410 "," 59,806 ",-5.68%," 1,850 ", 19 
media,4.73%,92.70%,3.88%," 87,902 "," 104,249 ",18.60%, 772 , 48 
media buyer,3.48%,94.44%,5.56%," 71,228 "," 99,579 ",39.80%," 2,505 ", 77 
media planner,8.02%,93.38%,0.00%," 92,481 "," 99,280 ",7.35%," 1,822 ", 98 
media relations,3.53%,92.48%,4.32%," 91,086 "," 115,749 ",27.08%," 1,285 ", 82 
medical,1.04%,93.97%,2.67%," 107,713 "," 94,825 ",-11.97%," 1,842 ", 37 
medical affairs,2.18%,93.76%,1.81%," 174,934 "," 182,630 ",4.40%," 6,276 ", 683 
medical information,1.25%,100.00%,0.00%," 59,861 "," 61,609 ",2.92%," 1,474 ", 33 
medical representative,0.42%,100.00%,0.00%," 92,637 "," 93,281 ",0.70%, 903 , 13 
medical sales representative,0.94%,94.91%,1.24%," 94,244 "," 93,382 ",-0.91%, 257 , 2 
medical science liaison,1.80%,94.27%,2.10%," 115,525 "," 140,151 ",21.32%," 7,107 ", 558 
medical technologist,2.78%,94.03%,2.99%," 74,952 "," 74,434 ",-0.69%," 1,837 ", 30 
medical writer,3.18%,90.92%,1.80%," 118,227 "," 137,538 ",16.33%," 2,968 ", 328 
merchandise,1.39%,90.88%,1.88%," 51,425 "," 114,109 ",121.89%, 990 , 8 
merchandise planner,6.21%,93.03%,3.70%," 88,419 "," 126,466 ",43.03%," 1,045 ", 29 
merchandising,2.82%,92.02%,2.11%," 61,017 "," 76,482 ",25.35%," 1,653 ", 15 
merchant,2.16%,90.28%,0.00%," 73,543 "," 52,950 ",-28.00%, 408 , 3 
mergers acquisitions,3.90%,94.94%,2.68%," 165,373 "," 176,212 ",6.55%," 2,110 ", 156 
millwright,2.09%,95.69%,3.50%," 53,137 "," 55,933 ",5.26%," 6,635 ", 117 
mining engineer,3.67%,93.10%,1.11%," 102,083 "," 80,420 ",-21.22%, 509 , 11 
mobile,1.80%,91.34%,0.00%," 63,736 "," 56,383 ",-11.54%, 151 , 3 
mobility,1.84%,87.50%,0.00%," 82,377 "," 154,496 ",87.55%, 149 , 5 
model,1.43%,92.24%,6.90%," 48,565 "," 101,283 ",108.55%, 607 , 9 
module,1.67%,100.00%,6.25%," 62,582 "," 31,061 ",-50.37%, 66 , 1 
mortgage,0.23%,83.33%,0.00%," 70,769 "," 76,413 ",7.98%, 427 , 14 
mortgage banker,0.60%,92.80%,2.78%," 72,324 "," 118,786 ",64.24%," 2,762 ", 96 
mortgage consultant,0.97%,100.00%,3.57%," 84,634 "," 109,003 ",28.79%," 1,131 ", 30 
mortgage loan officer,0.14%,95.45%,4.55%," 61,315 "," 77,653 ",26.65%," 1,807 ", 18 
mortgage loan originator,0.77%,93.95%,4.20%," 69,430 "," 97,731 ",40.76%," 5,697 ", 183 
mortgage loan processor,0.46%,100.00%,0.00%," 54,382 "," 69,329 ",27.48%," 3,216 ", 80 
mortgage underwriter,0.99%,100.00%,6.52%," 85,460 "," 106,497 ",24.62%," 2,066 ", 159 
nanny,1.11%,92.90%,5.29%," 47,944 "," 46,906 ",-2.17%," 2,095 ", 30 
negotiator,1.25%,90.81%,0.00%," 92,229 "," 119,211 ",29.26%, 449 , 10 
net developer,15.97%,98.35%,0.46%," 116,478 "," 118,860 ",2.04%, 614 , 87 
network,2.81%,97.78%,2.22%," 128,227 "," 119,795 ",-6.58%, 304 , 16 
network administrator,8.54%,96.25%,2.24%," 98,847 "," 90,529 ",-8.41%, 665 , 60 
network analyst,8.37%,96.36%,1.47%," 93,246 "," 98,901 ",6.06%," 1,368 ", 71 
network architect,19.16%,97.56%,1.35%," 156,652 "," 181,919 ",16.13%," 3,607 ", 508 
network consultant,11.05%,94.98%,2.68%," 127,573 "," 135,684 ",6.36%, 817 , 67 
network consulting engineer,11.14%,100.00%,1.23%," 126,145 "," 138,676 ",9.93%," 2,853 ", 507 
network engineer,8.26%,96.59%,1.35%," 114,218 "," 126,897 ",11.10%," 1,780 ", 143 
network engineering,6.36%,97.98%,0.00%," 119,891 "," 140,120 ",16.87%, 317 , 28 
network operations,3.91%,96.31%,1.24%," 103,612 "," 132,469 ",27.85%," 1,707 ", 66 
network security engineer,15.84%,97.54%,1.30%," 119,499 "," 129,827 ",8.64%," 2,429 ", 189 
network services,4.95%,99.21%,0.79%," 145,937 "," 173,435 ",18.84%," 3,268 ", 220 
network support,5.09%,96.88%,0.19%," 86,736 "," 132,566 ",52.84%, 191 , 5 
network support engineer,6.29%,97.29%,0.00%," 98,632 "," 112,427 ",13.99%, 529 , 46 
network technician,4.24%,95.90%,2.98%," 66,386 "," 77,874 ",17.30%," 2,044 ", 69 
non,2.65%,97.36%,2.12%," 161,415 "," 178,783 ",10.76%," 4,076 ", 476 
nurse,0.34%,94.77%,2.47%," 79,259 "," 96,811 ",22.15%," 1,464 ", 13 
nursing,0.68%,93.27%,3.32%," 59,518 "," 93,324 ",56.80%," 1,243 ", 30 
occupational therapist,2.27%,97.25%,1.97%," 74,991 "," 105,683 ",40.93%," 1,432 ", 29 
officer,0.39%,96.09%,0.00%," 135,479 "," 72,973 ",-46.14%, 186 , 6 
online,9.03%,93.81%,9.32%," 63,239 "," 50,952 ",-19.43%, 112 , 4 
online marketing,7.13%,98.33%,0.00%," 87,409 "," 105,823 ",21.07%," 5,366 ", 723 
operating officer,1.47%,96.39%,0.00%," 154,963 "," 194,873 ",25.75%, 228 , 10 
operation,0.65%,100.00%,0.00%," 69,461 "," 136,073 ",95.90%, 142 , 1 
operations,1.18%,92.41%,1.68%," 100,522 "," 120,551 ",19.93%," 3,567 ", 77 
operations administrator,2.15%,95.16%,3.23%," 54,771 "," 69,060 ",26.09%, 318 , 15 
operations analyst,4.72%,95.82%,1.92%," 81,384 "," 92,716 ",13.92%," 1,436 ", 59 
operations coordinator,1.46%,95.19%,0.00%," 62,497 "," 66,161 ",5.86%," 1,474 ", 20 
operations engineer,7.56%,95.88%,1.74%," 103,031 "," 115,745 ",12.34%," 1,372 ", 97 
operations officer,1.70%,100.00%,8.33%," 98,900 "," 187,200 ",89.28%, 59 , 1 
operations project,3.10%,96.25%,0.00%," 116,235 "," 129,078 ",11.05%," 1,277 ", 40 
operations representative,2.18%,95.35%,0.00%," 46,305 "," 45,792 ",-1.11%, 400 , 5 
operations support,2.22%,100.00%,0.00%," 64,828 "," 65,826 ",1.54%," 1,037 ", 21 
operations technician,2.75%,96.52%,2.60%," 60,167 "," 69,435 ",15.40%, 716 , 16 
ops,1.26%,100.00%,0.00%," 82,493 "," 127,855 ",54.99%, 219 , 5 
optician,0.25%,100.00%,4.17%," 55,172 "," 51,573 ",-6.52%," 1,537 ", 17 
oracle database administrator,15.78%,99.33%,0.22%," 121,583 "," 129,399 ",6.43%, 473 , 37 
oracle dba,11.95%,98.65%,0.27%," 101,524 "," 114,233 ",12.52%, 777 , 73 
oracle developer,8.66%,97.53%,0.70%," 119,169 "," 125,732 ",5.51%, 580 , 67 
order,1.45%,98.72%,1.28%," 53,275 "," 51,044 ",-4.19%, 867 , 17 
order picker,0.60%,100.00%,6.25%," 39,491 "," 27,507 ",-30.35%, 687 , 6 
